#,Question,Answer
1,"What is the main purpose of the Basel III regulatory framework, as implemented in Australia?","The Basel III capital reforms are international banking supervisors  response to deficiencies in the regulatory capital framework identified during the global financial crisis. These reforms were endorsed prior to release by the G20, of which Australia is a member. APRA, as a member of the Basel Committee, played an active role in formulating the Basel III measures. "
2,Can you explain the difference between an Australian Deposit-Taking Institution (DTI) and a Non-Deposit Taking Institution (NDTI)?,"An Authorised Deposit-taking Institutions (ADIs) is an Australian government term for financial institutions in Australia which are supervised by the Australian Prudential Regulation Authority (APRA) and authorised to accept deposits from the public.Whereas a non-deposit taking institution is a financial institution that does not have a full banking license or is not supervised by a national regulatory authority. These type of lenders are generally privately funded and do not have the normal features of a deposit taking institution (i.e. you cannot use an offset account as they have no facility to hold your funds). Generally it is the non-deposit taking institutions which will offer a non-conforming loan product. A non-conforming loan is a loan that fails to meet bank criteria for funding. This may include situations where the borrower has just started up a business and has a short trading history, has a poor credit history, or an ATO tax debt to be paid off."
3,How do Australian banks report their exposure to credit risk using the Internal Ratings-Based Approach (IRB)?,"IRB banks must compare regulatory expected losses (which are derived from their estimates of PD, LGD and EAD) against provisions held for credit losses and deduct any shortfall in provisions from the capital base. This leads to an increase in the capital requirement."
4,What is the definition of a Systemically Important Financial Institution (SIFI) under Australian prudential regulations?,"The too-big-to-fail problem refers to the fact that certain financial institutions, because of their size and/or interconnectedness, could pose a material risk to financial stability and the real economy if they were to fail. Such institutions are referred to as systemically important financial institutions (SIFIs)."
5,How do Australian banks calculate their Basel III capital requirements for Tier 1 and Tier 2 capital?,"The capital adequacy ratio is calculated by adding tier 1 capital to tier 2 capital and dividing by risk-weighted assets. Tier 1 capital is the core capital of a bank, which includes equity capital and disclosed reserves. This type of capital absorbs losses without requiring the bank to cease its operations; tier 2 capital is used to absorb losses in the event of a liquidation.
Under Basel III, a banks tier 1 and tier 2 minimum capital adequacy ratio (including the capital conservation buffer) must be at least 10.5% of its risk-weighted assets (RWA). That combines the total capital requirement of 8% with the 2.5% capital conservation buffer. The capital conservation buffer recommendation is designed to build up banks capital, which they could use in periods of stress."
6,Can you explain the concept of Liquidity Coverage Ratio (LCR) under Australian prudential regulations?,The liquidity coverage ratio (LCR) refers to the proportion of highly liquid assets that financial institutions must hold to ensure that they can meet their short-term obligations and ride out any disruptions in the market. It is mandated by international banking agreements known as the Basel Accords.
7,What are the key elements of a risk management framework under Australian banking regulations?,"An overarching risk management policy
An overview of the entity s approach to managing risk
Effective risk management frameworks generally describe the risk management processes to be used in the entity. This may include a common process for the assessment and management of individual risks including:
risk identification - how and when risks are identified,
risk assessment - how risks are assessed (likelihood, consequence, vulnerability, speed of onset etc), and
risk treatment - the entity s approach for treating risks (mitigate, share, transfer, accept etc).
Key risk management responsibilities
In line with element four of the Commonwealth Risk Management Policy, an entity s risk management framework should also clearly define the risk management responsibilities of officials, including the following:
Accountable Authority
Chief Risk Officer (if applicable)
Senior Executives
Audit Committee
Risk Committee (if applicable)
The risk management function
Risk owners
Control owners
Treatment owners
All staff
How the entity will report risks to both internal and external stakeholders
The attributes of the risk management culture that the entity seeks to develop
How the risk management framework and entity risk profile will be periodically reviewed and improved
The approach for measuring risk management performance
How the entity contributes to managing any shared or cross jurisdictional risks
An overview of the entity s approach to embedding risk management into its existing business processes"
8,How do Australian banks report their capital adequacy requirements to APRA?,"
Australian banks report their capital adequacy requirements to the Australian Prudential Regulation Authority (APRA) primarily through the quarterly and annual reporting of capital adequacy and risk-weighted assets (RWA) data. The APRA monitors this data as part of its prudential supervision to ensure banks maintain sufficient capital to absorb losses while protecting depositors and maintaining financial stability. Here s a breakdown of the reporting process:

Prudential Standard APS 110: APRA requires banks to meet capital adequacy standards set by the Prudential Standard APS 110 (Capital Adequacy), which aligns with the Basel III framework. This standard outlines minimum capital ratios banks must maintain, including the Common Equity Tier 1 (CET1), Tier 1, and Total Capital ratios.

Regular Reporting Requirements:

Quarterly and Annual Reports: Banks submit detailed reports on their capital positions and risk exposures, which include the composition of capital, RWA, and calculations of their capital ratios.
Reporting Forms: These submissions are standardized through APRA s reporting forms (such as ARF 110.0 for capital adequacy and ARF 112.0 for RWA). Banks complete these forms using APRA s Data Collection Solution (D2A), and APRA recently transitioned to the APRA Connect system for enhanced data collection.
Disclosures and Stress Testing: APRA also requires larger banks to disclose their capital adequacy publicly, which increases transparency. They may also conduct periodic stress tests, where banks report on their capital adequacy under hypothetical stress scenarios to assess resilience.

Supervisory Review: APRA conducts supervisory reviews of these submissions to ensure compliance and may engage in direct discussions with banks to assess their capital positions and risk management practices.

This process allows APRA to monitor and enforce capital requirements while enabling it to act swiftly in response to financial risks affecting the banking system."
9,Can you explain the concept of Operational Risk under Australian prudential regulations?,"Operational risk is defined as the risk of loss (including to policy owners) resulting from inadequate or failed internal processes, people and systems or from external events."
10,What is the definition of an Integrated Disclosure Framework (IDF) under Australian banking regulations?,"The integrated report is a concise communication about how an organisation s strategy, governance, performance and prospects, in the context of its external environment, lead to value creation over time. It drives high-quality corporate reporting and connectivity between financial statements and sustainability-related financial disclosures, and brings together information investors need to assess a company s ability to create value over time. An integrated report should be prepared in accordance with the Integrated Reporting Framework (IR Framework), which is an IFRS Foundation resource.
"
